104,I,001775
104,I,001560
104,I,001562
104,I,001564
104,I,001471
104,I,001411
104,I,001476
104,I,002570
104,I,002417
104,I,002419
104,I,002448
104,I,001140
104,I,001142
104,I,001054
104,I,001121
104,I,001125
104,I,001126
104,I,001127
104,I,001134
104,I,001130
104,I,001132
104,I,001133
104,I,001128
104,I,001003
104,I,001005
104,I,001164
104,I,001152
104R,O,001195
104R,O,001475
104R,O,001769
104R,O,001547
104R,O,001548
104R,O,001552
104R,O,001554
106,O,001382
106,O,001384
106,O,001312
106,O,001226
106,O,001227
106,O,001228
106,O,001339
106,O,001340
106,O,001341
106,O,001229
106,O,001230
106,O,001231
106,O,001232
106,O,001233
106,O,001300
106,O,001301
106,O,001302
106,O,001303
106,O,001367
106,O,001288
106,O,001271
106,O,001365
106,O,001274
106,O,001276
106,O,001277
106,O,001280
106,O,001364
106,O,001283
106,O,001286
106,O,001251
106,O,002414
106,O,001475
106,O,001631
106,O,002983
106,O,002984
106,O,002985
106,O,002986
106,O,003326
106,O,002988
106,O,002989
106,O,002990
106,O,001529
106,O,001572
106,O,002991
106,O,002992
106,O,002993
106,O,002980
106,I,002980
106,I,001450
106,I,001451
106,I,001577
106,I,002981
106,I,001809
106,I,001810
106,I,001811
106,I,001812
106,I,001813
106,I,001600
106,I,001531
106,I,001532
106,I,001533
106,I,002982
106,I,001476
106,I,002561
106,I,001213
106,I,001259
106,I,001260
106,I,001261
106,I,001262
106,I,001264
106,I,001265
106,I,001266
106,I,001267
106,I,001268
106,I,001393
106,I,001287
106,I,001296
106,I,001297
106,I,001298
106,I,001299
106,I,001216
106,I,001217
106,I,001218
106,I,001219
106,I,001220
106,I,001221
106,I,001336
106,I,001337
106,I,001338
106,I,001222
106,I,001224
106,I,001225
106,I,001362
106,I,001383
106,I,001382
106A,O,002980
106A,O,001450
106A,O,001451
106A,O,001577
106A,O,002981
106A,O,001809
106A,O,001810
106A,O,001811
106A,O,001812
106A,O,001813
106A,O,001600
106A,O,001531
106A,O,001532
106A,O,001533
106A,O,002982
106A,O,001476
106A,O,001258
106A,O,001267
106A,O,001268
106A,O,001393
106A,O,001287
106P,O,001382
106P,O,001384
106P,O,001312
106P,O,001226
106P,O,001227
106P,O,001228
106P,O,001339
106P,O,001340
106P,O,001341
106P,O,001229
106P,O,001230
106P,O,001231
106P,O,001232
106P,O,001233
106P,O,001300
106P,O,001301
106P,O,001302
106P,O,001303
106P,O,001367
106P,O,001288
106P,O,001271
106P,O,001365
106P,O,001274
106P,O,001276
106P,O,001313
106P,O,001475
106P,O,001631
106P,O,002983
106P,O,002984
106P,O,002985
106P,O,002986
106P,O,003326
106P,O,002988
106P,O,002989
106P,O,002990
106P,O,001529
106P,O,001572
106P,O,002991
106P,O,002992
106P,O,002993
106P,O,002980
106P,I,002980
106P,I,001450
106P,I,001451
106P,I,001577
106P,I,002981
106P,I,001809
106P,I,001810
106P,I,001811
106P,I,001812
106P,I,001813
106P,I,001600
106P,I,001531
